Country,srcYear,srcMonth,srcCalendarDay,srcStateName,Name of the power station,Monitored capacity,Available capacity,Power generation report for NTPC Station under (Dated) program,Power generation under todays actual,Power generation under (Dated) program,Power generation under till date actual,Coal Stock,Capacity under outage,Maintenance Start Date,Expected date or synchronize date
India,2025,Feb-2025,19-Feb-2025,Telangana,RAMAGUNDEM STPS_Unit 2,200,200,4.43,4.12,1323.15,1108.72,29,0,,
India,2018,Feb-2018,14-Feb-2018,Madhya Pradesh,VINDHYACHAL STPS_Unit 9,500,500,8.64,10.04,2764.96,3643.93,,0,,
India,2018,Apr-2018,08-Apr-2018,Odisha,TALCHER (OLD) TPS_Unit 1,60,60,1.13,1.49,9.04,11.91,,0,,
India,2020,Feb-2020,01-Feb-2020,Uttar Pradesh,SINGRAULI STPS_Unit 1,200,200,4.69,5.04,1223.69,990.77,16,0,,
India,2018,Dec-2018,23-Dec-2018,Telangana,RAMAGUNDEM STPS_Unit 6,500,500,10.19,10.21,2417.37,2408.97,,0,,
India,2024,Oct-2024,06-Oct-2024,Kerala,R. GANDHI CCPP (Liq.),359.58,0,0,0,0,0,,359.58,,
India,2021,Dec-2021,24-Dec-2021,Madhya Pradesh,VINDHYACHAL STPS_Unit 7,500,500,11.71,11.37,2614.04,1954.26,16,0,,
India,2018,Feb-2018,24-Feb-2018,Andhra Pradesh,SIMHADRI_Unit 1,500,500,9.64,8.7,3186.36,2838.27,,0,,
India,2019,May-2019,05-May-2019,Telangana,RAMAGUNDEM STPS_Unit 3,200,200,3.87,4.04,97.35,113.23,26,0,,
India,2020,Jun-2020,11-Jun-2020,Madhya Pradesh,VINDHYACHAL STPS_Unit 2,210,210,4.6,4.72,334.6,329.92,22,0,,
India,2024,Jun-2024,03-Jun-2024,Bihar,BARH STPS_Unit 1,660,660,12.4,14.1,823.2,779.89,24,0,,
India,2024,Jan-2024,14-Jan-2024,Madhya Pradesh,VINDHYACHAL STPS_Unit 3,210,210,4.52,4.93,1292.28,1379.04,16,0,,
India,2021,Feb-2021,18-Feb-2021,Odisha,TALCHER (OLD) TPS_Unit 4,60,60,1.36,0.35,356.48,415.51,17,0,,
India,2019,Nov-2019,15-Nov-2019,Uttar Pradesh,UNCHAHAR TPS_Unit 1,210,210,3.82,3.22,875.3,757.34,17,0,,
India,2018,Sep-2018,01-Sep-2018,Bihar,KAHALGAON TPS_Unit 1,210,210,3.83,3.32,590.83,652.62,,0,,
India,2019,Oct-2019,14-Oct-2019,Madhya Pradesh,VINDHYACHAL STPS_Unit 9,500,500,9.84,11.78,1937.76,2191.15,6,0,,
India,2022,Feb-2022,10-Feb-2022,Madhya Pradesh,VINDHYACHAL STPS_Unit 7,500,500,11.71,11.82,3176.1,2492.97,19,0,,
India,2021,May-2021,21-May-2021,Uttar Pradesh,RIHAND STPS_Unit 2,500,500,11.32,11.02,577.72,595.37,13,0,,
India,2018,Jul-2018,14-Jul-2018,Uttar Pradesh,SINGRAULI STPS_Unit 1,200,200,4.03,4.7,427.45,432.34,,0,,
India,2017,Nov-2017,30-Nov-2017,Madhya Pradesh,VINDHYACHAL STPS_Unit 11,500,500,8.63,12.14,2108,2519.49,,0,,
India,2022,Nov-2022,25-Nov-2022,Odisha,TALCHER STPS_Unit 2,500,500,0,12,2446,2029.62,14,0,,
India,2024,Apr-2024,01-Apr-2024,Chhattisgarh,LARA TPP_Unit 2,800,800,18.37,18.61,18.37,18.61,17,0,,
India,2018,Aug-2018,05-Aug-2018,Uttar Pradesh,RIHAND STPS_Unit 5,500,500,10.26,11.23,1313.56,1364.1,,0,,
India,2021,Jan-2021,13-Jan-2021,West Bengal,FARAKKA STPS_Unit 2,200,200,3.32,4.23,808.16,478.66,18,0,,
India,2025,Oct-2025,19-Oct-2025,Uttar Pradesh,SINGRAULI STPS_Unit 3,200,200,4.48,4.26,907.12,848.79,18,0,,
India,2022,Nov-2022,21-Nov-2022,Maharashtra,MAUDA TPS_Unit 4,660,660,8.2,12.43,2158.2,2555.3,15,0,,
India,2023,Feb-2023,09-Feb-2023,Himachal Pradesh,KOLDAM,800,0,2.68,0.56,2957.12,2980.17,,800,,
India,2021,Mar-2021,12-Mar-2021,Bihar,BARAUNI TPS_Unit 9,250,0,3.03,0,392.36,40.25,18,250,05/03/2021 23:48,
India,2022,Jul-2022,09-Jul-2022,Telangana,RAMAGUNDEM STPS_Unit 1,200,200,4.52,3.95,322.68,161.89,6,0,,
India,2022,Oct-2022,29-Oct-2022,Madhya Pradesh,GADARWARA TPP_Unit 1,800,0,10.74,0,2338.46,2743.04,29,800,07/10/2022 21:59,
India,2020,Mar-2020,18-Mar-2020,Bihar,BARH I_Unit 1,0,0,0,0,0,0,,0,,
India,2022,May-2022,11-May-2022,Chhattisgarh,KORBA STPS_Unit 6,500,500,11.77,10.94,476.47,466.1,12,0,,
